nbrs_id,company_type,company_name,phone,address,keyword
369569,PT,Aab Investments Group,2183784164,"JL. RAWASARI BAR. I NO. 13, Jakarta Pusat, DKI Jakarta",aab
1169204,PT,Aae Outdoor Indonesia,82110889569,"Gedung Panorama Depan Jalan Raya Klampok - Bangsri, Kabupaten Brebes, Jawa Tengah",aae
2676049,PT,Aae Mitra Abadi,85265010133,"Jl. Alai Pauh V No. 1, Kota Padang, Sumatera Barat",aae
273002,PT,Aaa Cipta Persada,2129043860,"GD. OFFICE 8 LT. 18-A, SCBD, JL. JEND. SUDIRMAN KAV. 52-53, Jakarta Selatan, DKI Jakarta",aaa
977500,PT,Anugrah Alam Abadi Aaa,8117109101,"Jalan Lintas Sumatera KM 09 Nomor 039, Kabupaten Lahat, Sumatera Selatan",aaa
992694,PT,Aaa Greencell Internasional,82119847168,"Tokopedia Care Tower Level 16 Suite 39, Ciputra International, Jl. Lingkar Luar Barat no.101, Jakarta Barat, DKI Jakarta",aaa
1048885,PT,Aaa Investama Sejahtera,2179453336,"GRAHA MAMPANG LT.3 SUITE 305, JL. MAMPANG PRAPATAN RAYA NO.100, Jakarta Selatan, DKI Jakarta",aaa
1170398,PT,Aaa Design Studio,60129880638,"Ruko Blok 5 Jalan Sunset Road 105, Kabupaten Badung, Bali",aaa
1175552,PT,Aaa Advisindo Sejahtera,0,"OFFICE 8 – LT. 11 UNIT D (Lot 28 SCBD), JALAN SENOPATI DALAM I, Jakarta Selatan, DKI Jakarta",aaa
1176677,PT,Aaa Rokni Ltd,881037908534,"Jalan Pariwisata Pantai Kuta, Kabupaten Lombok Tengah, Nusa Tenggara Barat",aaa
1199959,PT,Triple Aaa Int,2125036731,"Jl. Duren Tiga Selatan No.56, Jakarta Selatan, DKI Jakarta",aaa
1213165,PT,Aaa Teknologi Investama,0,"OFFICE 8 BUILDING LT. 11 UNIT D, JALAN SENOPATI, Jakarta Selatan, DKI Jakarta",aaa
1223976,PT,Aaa Greencell Trading Indonesia,82119847168,"Tokopedia Care Tower Level 16 Suite 39, Ciputra International, Jl. Lingkar Luar Barat no.101, Jakarta Barat, DKI Jakarta",aaa
1292308,PT,Eternal Aaa Investments,81281169647,"Ruko Pluit Village Nomor 21-23, Jalan Raya Pluit Permai, Jakarta Utara, DKI Jakarta",aaa
1303406,PT,Aaa Dana Investasi,8119301098,"TOKOPEDIA TOWER LT.19F JL. PROF DR SATRIO BL, Jakarta Selatan, DKI Jakarta",aaa
1303469,PT,Aaa Global Logistics,82136972356,"Jalan RM HADI SOEBENO SASROWARDOYO, RUKO FOREST HILL A1 No.1 CITRALAND BSB, Kota Semarang, Jawa Tengah",aaa
1344055,PT,Aaa Makmur Abadi,81289891989,"JALAN RAYA TUKUM NO. 45, Kabupaten Lumajang, Jawa Timur",aaa
1403724,PT,Aaa Jaya Properti,895416160033,"Jl. Yusuf Arief No. 03, Kota Palopo, Sulawesi Selatan",aaa
1411836,PT,Aaa Bersaudara Teknik,81371769373,"DURI, Kabupaten Bengkalis, Riau",aaa
1055131,PT,Aac Panel Indonesia,2129026682,"Plaza Mutiara Lantai 5, Jl. DR. Ide Anak Agung Gde Agung, Kav. E.1.2 Nomor 1 & 2, Jakarta Selatan, DKI Jakarta",aac
1437419,PT,Aaa Villas Bali,81337220612,"Jalan Raya Semat No. 11, Kelurahan/Desa Tibubeneng, Kecamatan Kuta Utara, Kabupaten Badung, Provinsi Bali, Kabupaten Badung, Bali",aaa
2458905,PT,Aac Legasi Arthaya,81364310588,"JALAN VETERAN NO 185, Kota Bukittinggi, Sumatera Barat",aac
1461961,PT,Aaa Global Express Inc,82121225680,"KAMPUNG SODONG NOMOR 64, Kabupaten Bandung, Jawa Barat",aaa
1467249,PT,Triple Aaa Group,81238093987,"JALAN KUWUM, BANJAR KUWUM, Kabupaten Badung, Bali",aaa
1486541,PT,Aaa Food Consulting,81337483964,"JALAN MUNDUK TENGAH NOMOR 6, Kabupaten Badung, Bali",aaa
1138492,PT,Aaf Sukses Medika,81262185092,"JALAN RAYA BOGOR KILOMETER 29, Kota Depok, Jawa Barat",aaf
1951869,PT,Aaf Pandum Berkah,812162185209,"JL. MEKARSARI RAYA NO.10 B, Kota Depok, Jawa Barat",aaf
2626529,PT,Target Aaf Latimojong,81244805703,"PERUM MARIO RESIDENT BLOK B9, Kabupaten Luwu, Sulawesi Selatan",aaf
844125,PT,Aaf International Indonesia,,"GOLF ISLAND, RUKAN BEACH 2 BOULEVARD NOMOR 007
KAMAL MUARA, PENJARINGAN, Jakarta Utara, DKI Jakarta",aaf
1500565,PT,Rasa Matcha Aaa,81219461997,"Jl Bangunan Timur No. 5, Jakarta Timur, DKI Jakarta",aaa
1503257,PT,Aaa Investama Abadi,8112639007,"Jl. Watukaji M 107, Kota Semarang, Jawa Tengah",aaa
1550325,PT,Aaa Trece Group,85822556218,"JALAN SUGRIWA NOMOR 18, Kabupaten Gianyar, Bali",aaa
1598637,PT,Gpgm Cendrawasih Aaa,81380241171,"DUSUN JLEGONG, Kabupaten Semarang, Jawa Tengah",aaa
1652473,PT,Aaa Prima Bersaudara,81315164729,"Jalan Delta, Kabupaten Tanjung Jabung Timur, Jambi",aaa
1744337,PT,Aaa Putra Golden,81365629029,"Jl. Teuku Umar, Kabupaten Siak, Riau",aaa
1849685,PT,Aaa Hospitality Entreprises,61448392183,"Jalan Selong Belanak, Kabupaten Lombok Tengah, Nusa Tenggara Barat",aaa
1929069,PT,Aaa Development Bali,85333798382,"Jalan Sri Wedari No. 24, Lingkungan Tegallantang, Kabupaten Gianyar, Bali",aaa
2004692,PT,Aaa Global Consultancy,811823201,"Epiwalk Lantai 5 Unit B522, Kawasan Rasuna Epicentrum, Jalan H.R. Rasuna Said, Jakarta Selatan, DKI Jakarta",aaa
2055680,PT,Aaa Sukses Bersaudara,82148906908,"SANIPAH, GANG TAPENG, Kabupaten Kutai Kartanegara, Kalimantan Timur",aaa
696511,PT,Aah Tiga Berlian,2142886746,"D’Arcici Plaza Lantai 03 Room 303, Jl. Letjend Suprapto No. 62, Jakarta Pusat, DKI Jakarta",aah
2204706,PT,Aaa Trading International,82299333102,"JALAN KEBON KACANG 41 LOS, 5, Jakarta Pusat, DKI Jakarta",aaa
2352377,PT,Triple Aaa Security,895612453057,"Jl. Tegal Sari 53, Kabupaten Badung, Bali",aaa
2095832,PT,Aai Aai Indonesia,2122834060,"Capital Place Lantai 19, Jl. Gatot Subroto Kav. 18, Jakarta Selatan, DKI Jakarta",aai
1602277,PT,Aai Globalindo Travel,818338810,"Kyai Caringin nomor 22-A, Jakarta Pusat, DKI Jakarta",aai
2371777,PT,Aaa Traders Indonesia,923224994042,"Menara Bidakara 2Annex Building (Bina Sentra) Lantai 4 . Jl. Gatot Subroto Kav 71-73, Jakarta Selatan, DKI Jakarta",aaa
2395485,PT,Aai Global Remittance,8124277591,"Jl. Kh. Guru Amin No.11, Jakarta Selatan, DKI Jakarta",aai
2434973,PT,Aaa Bersaudara Kreasi,87788684849,"JALAN PANGLIMA POLIM XII NOMOR 9, Jakarta Selatan, DKI Jakarta",aaa
1081763,PT,Aaa Arto Abadi,2131110505,"Gedung Kinanti, Epicentrum Tengah No. 3, Jl. HR. Rasuna Said, Jakarta Selatan, DKI Jakarta",aaa
2559030,PT,Aaa Royal Trading,8113415758,"KENONGOSARI, Kabupaten Sidoarjo, Jawa Timur",aaa
2628285,PT,Aaa Malaya Heritage,882017184986,"Jalan Sudirman Nomor 259, Kota Tebing Tinggi, Sumatera Utara",aaa
2655085,PT,Aaa Legacy Group,87779288721,"GEDUNG METRO PASAR BARU LANTAI 3 TU 305, JALAN H. SAMANHUDI NO 2B, Jakarta Pusat, DKI Jakarta",aaa
1710997,PT,Aaa Investment Management,6586668886,"Ruko Suryopranoto, Jalan Suryopranoto No. 11F, Jakarta Pusat, DKI Jakarta",aaa
1335409,PT,Aaa Oxford Global,971585870025,"Gandum Villa Complex, Jalan Belimbing Sari, Kabupaten Badung, Bali",aaa
2678917,PT,Aaa Adikara Sejahtera,82125450181,"JALAN VICTORIA HILL BLOK J11, Kota Bogor, Jawa Barat",aaa
230502,PT,Aaj Indonesia,2151401340,"GD. PLAZA ASIA/ABDA LT. 10, JL. JEND. SUDIRMAN KAV. 59, SENAYAN., Jakarta Selatan, DKI Jakarta",aaj
341122,PT,Aaj Kapital,,"GEDUNG PLAZA ASIA LT.10,JL.JEND.SUDIRMAN KAV.59,SENAYAN, Jakarta Selatan, DKI Jakarta",aaj
2498801,PT,Aaj Anugrah Sentosa,82364265544,"JL GUNUNG RAYA NO 2, Kota Pekanbaru, Riau",aaj
2551334,PT,Aaj Asia Jaya,85247223639,"Ruko JBD BA08 Jakarta Garden City, Jakarta Timur, DKI Jakarta",aaj
979147,PT,Aak Asgar Indonesia,82120414091,"Blok M Plaza Lantai 5 Unit 524, Jalan Bulungan Nomor 76 Jakarta Selatan, Jakarta Selatan, DKI Jakarta",aak
2154481,PT,Aak Indo Impex,81388561618,"GEDUNG CITRA TOWER LT.2 BLOK B1 JL. BENYAMIN SUEB A6, Jakarta Pusat, DKI Jakarta",aak
